iter	Logloss
0	0.6865053235
1	0.6796368489
2	0.6754759668
3	0.6734442619
4	0.6718445369
5	0.6676838307
6	0.6642988669
7	0.6587760705
8	0.6525149122
9	0.6471405991
10	0.644786154
11	0.641304887
12	0.6377429663
13	0.6321522421
14	0.6274026563
15	0.624022986
16	0.6189970635
17	0.6148562119
18	0.612143339
19	0.6092190054
20	0.6057039259
21	0.6011501583
22	0.5943248916
23	0.591126317
24	0.5894143224
25	0.5848465042
26	0.5827753463
27	0.5780332238
28	0.5755348812
29	0.5735027017
30	0.5667678754
31	0.5632416362
32	0.5596212135
33	0.5564187958
34	0.5533729685
35	0.5519118651
36	0.550483106
37	0.546341252
38	0.545055269
39	0.5430049859
40	0.5395562237
41	0.5379683927
42	0.5340965524
43	0.5327530501
44	0.5284715307
45	0.5261679459
46	0.5242112573
47	0.5219554461
48	0.5189453755
49	0.5168813081
50	0.5148522754
51	0.5123854409
52	0.5089189008
53	0.5071586369
54	0.5052942606
55	0.4990474865
56	0.4965373473
57	0.4939267784
58	0.4915931448
59	0.4888823587
60	0.4870885323
61	0.4850626523
62	0.4815704741
63	0.4791378293
64	0.4773215593
65	0.4755113972
66	0.4726171872
67	0.4706447221
68	0.4673792881
69	0.466594147
70	0.4651580706
71	0.4630261658
72	0.4616700422
73	0.4607604196
74	0.4578726459
75	0.4576305852
76	0.4561657077
77	0.4534224248
78	0.4506379923
79	0.4506379899
80	0.4483322715
81	0.4469075302
82	0.4451775422
83	0.4440772799
84	0.4418880585
85	0.4390216847
86	0.4350411357
87	0.4329348314
88	0.4302475895
89	0.4285210793
90	0.4267544343
91	0.4256856521
92	0.4239782819
93	0.4220484418
94	0.4206855914
95	0.4196561087
96	0.4171763457
97	0.4168883543
98	0.4159624613
99	0.4143078311
100	0.4128132885
101	0.4122090795
102	0.4091288665
103	0.4077154176
104	0.4070386402
105	0.4049120732
106	0.4026225311
107	0.4011475605
108	0.4002561208
109	0.3969494724
110	0.3939162238
111	0.3922533506
112	0.3909239172
113	0.3883298082
114	0.3857684217
115	0.3845987353
116	0.3832300176
117	0.3816295584
118	0.3815519714
119	0.3798145517
120	0.3787123803
121	0.3767476869
122	0.3753919097
123	0.3736506751
124	0.3714295828
125	0.3705757762
126	0.369013993
127	0.3680234123
128	0.3667190597
129	0.3632703291
130	0.3620393524
131	0.3610667733
132	0.3600520702
133	0.3583369416
134	0.3567884725
135	0.3552192827
136	0.3537810107
137	0.3524074799
138	0.3510892779
