iter	Passed	Remaining
0	61	61030
1	63	31594
2	65	21815
3	66	16591
4	67	13477
5	69	11523
6	71	10100
7	72	9001
8	74	8179
9	76	7545
10	77	6998
11	79	6538
12	81	6156
13	83	5861
14	85	5582
15	86	5321
16	88	5120
17	90	4931
18	92	4759
19	94	4611
20	95	4456
21	97	4321
22	98	4188
23	100	4070
24	101	3961
25	103	3863
26	104	3767
27	106	3682
28	107	3606
29	109	3542
30	111	3478
31	112	3404
32	114	3349
33	116	3307
34	118	3262
35	119	3212
36	121	3158
37	123	3113
38	124	3070
39	126	3024
40	127	2984
41	129	2961
42	131	2921
43	132	2888
44	134	2851
45	135	2811
46	136	2773
47	138	2739
48	139	2708
49	140	2675
50	142	2645
51	143	2622
52	146	2617
53	148	2595
54	149	2571
55	150	2544
56	152	2518
57	153	2492
58	154	2467
59	156	2447
60	157	2425
61	158	2402
62	160	2381
63	161	2364
64	163	2349
65	164	2332
66	166	2313
67	167	2296
68	168	2279
69	169	2255
70	171	2242
71	172	2225
72	173	2208
73	175	2193
74	176	2179
75	177	2160
76	178	2145
77	180	2130
78	181	2116
79	182	2094
80	183	2082
81	184	2070
82	186	2061
83	188	2051
84	189	2043
85	191	2031
86	192	2020
87	194	2012
88	195	2001
89	196	1988
90	198	1979
91	199	1969
92	200	1958
93	202	1947
94	203	1937
95	204	1927
96	206	1918
97	207	1905
98	208	1896
99	209	1887
100	211	1880
101	212	1872
102	214	1864
103	215	1856
104	216	1848
105	218	1842
106	220	1837
107	222	1836
108	223	1828
109	225	1821
110	226	1817
111	228	1812
112	230	1806
113	231	1800
114	232	1793
115	234	1788
116	236	1781
117	237	1774
118	238	1764
119	239	1757
120	241	1751
121	242	1745
122	243	1738
123	245	1732
124	246	1725
125	247	1718
126	249	1714
127	250	1708
128	252	1702
129	253	1697
130	255	1693
131	256	1688
132	258	1683
133	259	1677
134	261	1672
135	262	1666
136	264	1663
137	265	1658
138	266	1652
