Earnings Date,EPS Estimate,Reported EPS,Surprise(%),ticker,beat
2025-05-01,1.63,1.65,1.41,AAPL,1
2025-01-30,2.35,2.4,2.15,AAPL,1
2024-10-31,1.6,1.64,2.35,AAPL,1
2024-08-01,1.35,1.4,3.99,AAPL,1
2024-05-02,1.5,1.53,1.97,AAPL,1
2024-02-01,2.1,2.18,3.9,AAPL,1
2023-11-02,1.39,1.46,4.92,AAPL,1
2023-08-03,1.19,1.26,5.49,AAPL,1
2023-05-04,1.43,1.52,6.03,AAPL,1
2023-02-02,1.94,1.88,-2.88,AAPL,0
2022-10-27,1.27,1.29,1.55,AAPL,1
2022-07-28,1.16,1.2,3.25,AAPL,1
2022-04-28,1.43,1.52,6.44,AAPL,1
2022-01-27,1.89,2.1,11.17,AAPL,1
2021-10-28,1.24,1.24,0.3,AAPL,0
2021-07-27,1.01,1.3,29.12,AAPL,1
2021-04-28,0.99,1.4,41.89,AAPL,1
2021-01-27,1.41,1.68,19.02,AAPL,1
2020-10-29,0.7,0.73,4.25,AAPL,1
2020-07-30,0.51,0.65,26.25,AAPL,1
2020-04-30,0.57,0.64,12.78,AAPL,1
2020-01-28,1.14,1.25,9.73,AAPL,1
2019-10-30,0.71,0.76,6.71,AAPL,1
2019-07-30,0.52,0.55,3.9,AAPL,1
2019-04-30,0.59,0.62,4.18,AAPL,1
2019-01-29,1.04,1.05,0.31,AAPL,1
2018-11-01,0.7,0.73,4.56,AAPL,1
2018-07-31,0.55,0.59,7.27,AAPL,1
2018-05-01,0.67,0.68,2.14,AAPL,1
2018-02-01,0.96,0.97,0.87,AAPL,1
2017-11-02,0.47,0.52,10.85,AAPL,1
2017-08-01,0.39,0.42,6.27,AAPL,1
2017-05-02,0.5,0.53,3.97,AAPL,1
2017-01-31,0.8,0.84,4.55,AAPL,1
2016-10-25,0.41,0.42,0.84,AAPL,1
2016-07-26,0.35,0.36,2.6,AAPL,1
2025-04-30,3.22,3.46,7.45,MSFT,1
2025-01-29,3.11,3.23,3.82,MSFT,1
2024-10-30,3.1,3.3,6.52,MSFT,1
2024-07-30,2.93,2.95,0.54,MSFT,1
